,field,type,desc,actuation,seal_type,pilot_type,back_pressure_check,pilot_valve,fitting_size,solenoid_qty,x_option
JI,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -2 FITTING SIZE",3,1,R,,K,2,2,False
JJ,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -2 FITTING SIZE",4,1,R,,K,2,2,False
JK,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -2 FITTING SIZE",5,1,R,,K,2,2,False
JL,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -2 FITTING SIZE",1,1,R,,B,2,1,False
JM,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -2 FITTING SIZE",2,1,R,,B,2,2,False
JN,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -2 FITTING SIZE",3,1,R,,B,2,2,False
JP,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -2 FITTING SIZE",4,1,R,,B,2,2,False
JQ,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -2 FITTING SIZE",5,1,R,,B,2,2,False
JR,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, -3 FITTING SIZE",1,0,,,,3,1,False
JS,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, -3 FITTING SIZE",2,0,,,,3,2,False
JT,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL, -3 FITTING SIZE",3,0,,,,3,2,False
JU,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL, -3 FITTING SIZE",4,0,,,,3,2,False
JV,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL, -3 FITTING SIZE",5,0,,,,3,2,False
JW,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, -3 FITTING SIZE",A,0,,,,3,2,False
KA,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, -3 FITTING SIZE",B,0,,,,3,2,False
KB,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, -3 FITTING SIZE",C,0,,,,3,2,False
KC,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",1,0,R,,,3,1,False
KD,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",2,0,R,,,3,2,False
KE,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",3,0,R,,,3,2,False
KF,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",4,0,R,,,3,2,False
KG,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",5,0,R,,,3,2,False
KH,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",A,0,R,,,3,2,False
KI,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",B,0,R,,,3,2,False
KJ,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, EXTERNAL PILOT, -3 FITTING SIZE",C,0,R,,,3,2,False
KK,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, BACK PRESSURE CHECK, -3 FITTING SIZE",1,0,,H,,3,1,False
KL,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, BACK PRESSURE CHECK, -3 FITTING SIZE",2,0,,H,,3,2,False
KM,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, BACK PRESSURE CHECK, -3 FITTING SIZE",A,0,,H,,3,2,False
KN,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, BACK PRESSURE CHECK, -3 FITTING SIZE",B,0,,H,,3,2,False
KP,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, BACK PRESSURE CHECK, -3 FITTING SIZE",C,0,,H,,3,2,False
KQ,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",1,0,,,B,3,1,False
KR,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",2,0,,,B,3,2,False
KS,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",3,0,,,B,3,2,False
KT,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",4,0,,,B,3,2,False
KU,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",5,0,,,B,3,2,False
KV,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",A,0,,,B,3,2,False
KW,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",B,0,,,B,3,2,False
LA,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, QUICK RESPONSE, -3 FITTING SIZE",C,0,,,B,3,2,False
LB,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",1,0,R,,B,3,1,False
LC,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",2,0,R,,B,3,2,False
LD,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",3,0,R,,B,3,2,False
LE,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",4,0,R,,B,3,2,False
LF,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",5,0,R,,B,3,2,False
LG,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",A,0,R,,B,3,2,False
LH,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",B,0,R,,B,3,2,False
LI,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",C,0,R,,B,3,2,False
LJ,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE, -3 FITTING SIZE",1,0,R,H,B,3,1,False
LK,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE, -3 FITTING SIZE",2,0,R,H,B,3,2,False
LL,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE, -3 FITTING SIZE",A,0,R,H,B,3,2,False
LM,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE, -3 FITTING SIZE",B,0,R,H,B,3,2,False
LN,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE, -3 FITTING SIZE",C,0,R,H,B,3,2,False
LP,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, -3 FITTING SIZE",1,0,,,,3,1,False
LQ,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, -3 FITTING SIZE",2,1,,,,3,2,False
LR,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, -3 FITTING SIZE",3,1,,,,3,2,False
LS,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, -3 FITTING SIZE",4,1,,,,3,2,False
LT,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, -3 FITTING SIZE",5,1,,,,3,2,False
LU,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, EXTERNAL PILOT, -3 FITTING SIZE",1,1,R,,,3,1,False
LV,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, EXTERNAL PILOT, -3 FITTING SIZE",2,1,R,,,3,2,False
LW,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, EXTERNAL PILOT, -3 FITTING SIZE",3,1,R,,,3,2,False
MA,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, EXTERNAL PILOT, -3 FITTING SIZE",4,1,R,,,3,2,False
MB,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, EXTERNAL PILOT, -3 FITTING SIZE",5,1,R,,,3,2,False
MC,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, HIGH PRESSURE, -3 FITTING SIZE",1,1,,,K,3,1,False
MD,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, HIGH PRESSURE, -3 FITTING SIZE",2,1,,,K,3,2,False
ME,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, HIGH PRESSURE, -3 FITTING SIZE",3,1,,,K,3,2,False
MF,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, HIGH PRESSURE, -3 FITTING SIZE",4,1,,,K,3,2,False
MG,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, HIGH PRESSURE, -3 FITTING SIZE",5,1,,,K,3,2,False
MH,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, QUICK RESPONSE, -3 FITTING SIZE",1,1,,,B,3,1,False
MI,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, QUICK RESPONSE, -3 FITTING SIZE",2,1,,,B,3,2,False
MJ,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, QUICK RESPONSE, -3 FITTING SIZE",3,1,,,B,3,2,False
MK,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, QUICK RESPONSE, -3 FITTING SIZE",4,1,,,B,3,2,False
ML,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, QUICK RESPONSE, -3 FITTING SIZE",5,1,,,B,3,2,False
MM,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -3 FITTING SIZE",1,1,R,,K,3,1,False
MN,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -3 FITTING SIZE",2,1,R,,K,3,2,False
MP,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -3 FITTING SIZE",3,1,R,,K,3,2,False
MQ,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -3 FITTING SIZE",4,1,R,,K,3,2,False
MR,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, EXTERNAL PILOT, HIGH PRESSURE, -3 FITTING SIZE",5,1,R,,K,3,2,False
MS,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",1,1,R,,B,3,1,False
MT,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",2,1,R,,B,3,2,False
MU,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",3,1,R,,B,3,2,False
MV,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",4,1,R,,B,3,2,False
MW,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL, EXTERNAL PILOT, QUICK RESPONSE, -3 FITTING SIZE",5,1,R,,B,3,2,False
NA,valve_callout,base_mounted_valve,"4 POS NC/NC, X350",A,0,,,,0,2,True
NB,valve_callout,base_mounted_valve,"4 POS NO/NO, X350",B,0,,,,0,2,True
NC,valve_callout,base_mounted_valve,"4 POS NC/NO, X350",C,0,,,,0,2,True
ND,valve_callout,base_mounted_valve,"4 POS NC/NC, X350, -1 FITTING SIZE",A,0,,,,1,2,True
NE,valve_callout,base_mounted_valve,"4 POS NO/NO, X350, -1 FITTING SIZE",B,0,,,,1,2,True
NF,valve_callout,base_mounted_valve,"4 POS NC/NO, X350, -1 FITTING SIZE",C,0,,,,1,2,True
NG,valve_callout,base_mounted_valve,"4 POS NC/NC, X350, -2 FITTING SIZE",A,0,,,,2,2,True
NH,valve_callout,base_mounted_valve,"4 POS NO/NO, X350, -2 FITTING SIZE",B,0,,,,2,2,True
NI,valve_callout,base_mounted_valve,"4 POS NC/NO, X350, -2 FITTING SIZE",C,0,,,,2,2,True
NJ,valve_callout,base_mounted_valve,"4 POS NC/NC, X350, -3 FITTING SIZE",A,0,,,,3,2,True
NK,valve_callout,base_mounted_valve,"4 POS NO/NO, X350, -3 FITTING SIZE",B,0,,,,3,2,True
NL,valve_callout,base_mounted_valve,"4 POS NC/NO, X350, -3 FITTING SIZE",C,0,,,,3,2,True
NM,valve_callout,base_mounted_valve,"2 POS SGL, X350",1,0,,,,0,1,True
NN,valve_callout,base_mounted_valve,"2 POS SGL, X350, -1 FITTING SIZE",1,0,,,,1,1,True
NP,valve_callout,base_mounted_valve,"2 POS SGL, X350, -2 FITTING SIZE",1,0,,,,2,1,True
NQ,valve_callout,base_mounted_valve,"2 POS SGL, X350, -3 FITTING SIZE",1,0,,,,3,1,False
NR,valve_callout,base_mounted_valve,"4 POS NC/NC, X323",A,0,,,,0,2,True
NS,valve_callout,base_mounted_valve,"4 POS NO/NO, X323",B,0,,,,0,2,True
NT,valve_callout,base_mounted_valve,"4 POS NC/NO, X323",C,0,,,,0,2,True
NU,valve_callout,base_mounted_valve,"4 POS NC/NC, X323, -1 FITTING SIZE",A,0,,,,1,2,True
NV,valve_callout,base_mounted_valve,"4 POS NO/NO, X323, -1 FITTING SIZE",B,0,,,,1,2,True
NW,valve_callout,base_mounted_valve,"4 POS NC/NO, X323, -1 FITTING SIZE",C,0,,,,1,2,True
PA,valve_callout,base_mounted_valve,"4 POS NC/NC, X323, -2 FITTING SIZE",A,0,,,,2,2,True
PB,valve_callout,base_mounted_valve,"4 POS NO/NO, X323, -2 FITTING SIZE",B,0,,,,2,2,True
PC,valve_callout,base_mounted_valve,"4 POS NC/NO, X323, -2 FITTING SIZE",C,0,,,,2,2,True
PD,valve_callout,base_mounted_valve,"4 POS NC/NC, X323, -3 FITTING SIZE",A,0,,,,3,2,True
PE,valve_callout,base_mounted_valve,"4 POS NO/NO, X323, -3 FITTING SIZE",B,0,,,,3,2,True
PF,valve_callout,base_mounted_valve,"4 POS NC/NO, X323, -3 FITTING SIZE",C,0,,,,3,2,True
PG,valve_callout,base_mounted_valve,"2 POS DBL, X25",2,0,,,,0,2,True
PH,valve_callout,base_mounted_valve,"2 POS DBL, X25, -1 FITTING SIZE",2,0,,,,1,2,True
PI,valve_callout,base_mounted_valve,"2 POS DBL, X25, -2 FITTING SIZE",2,0,,,,2,2,True
PJ,valve_callout,base_mounted_valve,"2 POS DBL, X25, -3 FITTING SIZE",2,0,,,,3,2,True
WH,valve_callout,blanking_plate_with_output,"Blanking Plate with output, No Connector, 300mm",,,,,,0,0,False
WI,valve_callout,blanking_plate_with_output,"Blanking Plate with output, No Connector, 100mm",,,,,,0,0,False
WJ,valve_callout,blanking_plate_with_output,"Blanking Plate with output, M12, 300mm",,,,,,0,0,False
WK,valve_callout,blanking_plate_with_output,"Blanking Plate with output, M12, 1000mm",,,,,,0,0,False
WL,valve_callout,blanking_plate_with_output,"Blanking Plate with output, ZK2, 3000mm",,,,,,0,0,False
WM,valve_callout,blanking_plate_with_output,"Blanking Plate with output, ZK2, 1000mm",,,,,,0,0,False
WN,valve_callout,individual_supply_block,Individual Supply Block,,,,,,0,0,False
WP,valve_callout,individual_supply_block,"Individual Supply Block, Fitting Size -1",,,,,,1,0,False
WQ,valve_callout,individual_supply_block,"Individual Supply Block, Fitting Size -2",,,,,,2,0,False
WR,valve_callout,individual_supply_block,"Individual Supply Block, Fitting Size -3",,,,,,3,0,False
WS,valve_callout,individual_exhaust_block,Individual Exhaust Block,,,,,,0,0,False
WT,valve_callout,individual_exhaust_block,"Individual Exhaust Block, Fitting Size -1",,,,,,1,0,False
WU,valve_callout,individual_exhaust_block,"Individual Exhaust Block, Fitting Size -2",,,,,,2,0,False
WV,valve_callout,individual_exhaust_block,"Individual Exhaust Block, Fitting Size -3",,,,,,3,0,False
WW,valve_callout,blanking_plate,Blanking Plate,,,,,,0,0,False
X,valve_callout,block,P BLOCK,,,,,,0,0,False
Y,valve_callout,block,P/E BLOCK,,,,,,0,0,False
Z,valve_callout,block,E BLOCK,,,,,,0,0,False
0D,valve_callout,NA,"NO VALVES, DOUBLE WIRE",,,,,,0,0,False
0S,valve_callout,NA,"NO VALVES, SINGLE WIRE",,,,,,0,0,False
